remarks,current_cin,to_delete,replace,cin_1,company_name_1,cin_2,company_name_2,cin_3,company_name_3
Company Names aren't Matching,CIN-2,U15122DL2006PTC154000,,U15122DL2006PTC154000,FLORA AND FAUNA HOUSING AND LAND DEVELOPEMENTS PRIVATE LIMIT,U15122UP2006PTC153605,FLORA AND FAUNA HOUSING AND LAND DEVELOPEMENTS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U51909MH2009PLC268160,,U51909MH2009PLC268160,INDOSTAR CAPITAL FINANCE,L65100MH2009PLC268160,INDOSTAR CAPITAL FINANCE LIMITED,,
Company Names aren't Matching,CIN-2,U67110OR1996PLC014016,,U67110OR1996PLC014016,OCEAN CAPITAL MARKET,U65900OR1996PLC014016,OCEAN CAPITAL MARKET LTD.,,
Company Names aren't Matching,CIN-2,U40105KA1995PLC016942,,U40105KA1995PLC016942,GMR POWER CORPORATION,U40105MH1995PLC318311,GMR POWER CORPORATION LIMITED,,
Company Names aren't Matching,CIN-2,U70109DL2006PTC151341,,U70109DL2006PTC151341,CANDOR GURGAON TWO DEVELOPERS & PROJECTS PRIVATE LIMITED,U70109MH2006PTC281179,CANDOR GURGAON TWO DEVELOPERS & PROJECTS PVT. LTD. [MERGED],,
Company Names aren't Matching,CIN-2,U27320KA2004PTC034057,,U27320KA2004PTC034057,M S METALS AND STEELS,U27320MH2004PTC355033,M S METALS AND STEELS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U15116DL1987PTC030036,,U15116DL1987PTC030036,PARAS HEALTHCARE PRIVATE LIMITED,U85110HR1987PTC035823,PARAS HEALTHCARE PRIVATE LIMITED.,,
Company Names aren't Matching,CIN-2,U72900GJ2014PTC081103,,U72900GJ2014PTC081103,MAJESCO SOFTWARE AND SOLUTIONS INDIA PRIVATE LIMITED,U72900MH2014PTC288244,MAJESCO SOFTWARE AND SOLUTIONS INDIAPRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U72900PN2004PTC019711,,U72900PN2004PTC019711,YARDI SOFTWARE INDIA,U72990PN2004PTC019711,YARDI SOFTWARE INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U67190TN2006PLC059527,,U67190TN2006PLC059527,L&T INFRASTRUCTURE FINANCE COMPANY,U67190MH2006PLC299025,L&T INFRASTRUCTURE FINANCE COMPANY LIMITED,,
Company Names aren't Matching,CIN-2,U70101DL2002PLC113636,,U70101DL2002PLC113636,DLF COMMERCIAL DEVELOPERS,U70101HR2002PLC083110,DLF COMMERCIAL DEVELOPERS LIMITED,,
